"Rk","Pk","Draft Year","Player ID","Team","Player Name","College","TOTG","TOTMP","TOTFG","TOTFGA","TOT3P","TOT3PA","TOTFT","TOTFTA","TOTORB","TRB","TOTAST","TOTSTL","TOTBLK","TOTTOV","TOTPF","TOTPTS","FG%","3P%","FT%","MPPG","PTSPG","TRBPG","ASTPG"
"1","1","2000","200001","NJN","Kenyon Martin","Cincinnati","116","2900","513","875","2","9","251","432","76","869","142","124","292","191","340","1279","0.586","0.222","0.581","25","11","7.5","1.2"
"2","2","2000","200002","VAN","Stromile Swift","LSU","50","1332","253","452","8","33","157","256","103","348","37","65","130","126","131","671","0.56","0.242","0.613","26.6","13.4","7","0.7"
"3","3","2000","200003","CHI","Marcus Fizer","Iowa State","97","3020","690","1349","21","72","429","611","100","716","94","90","89","225","257","1830","0.511","0.292","0.702","31.1","18.9","7.4","1"
"4","4","2000","200004","ORL","Mike Miller","Florida","65","1735","290","601","78","226","204","284","80","389","149","81","22","140","122","862","0.483","0.345","0.718","26.7","13.3","6","2.3"
"5","5","2000","200005","ATL","DerMarr Johnson","Cincinnati","32","879","140","293","52","140","70","95","37","123","45","31","30","46","64","402","0.478","0.371","0.737","27.5","12.6","3.8","1.4"
"6","6","2000","200006","CHI","Chris Mihm","Texas","96","2810","498","1003","9","30","399","583","116","945","55","36","264","222","287","1404","0.497","0.3","0.684","29.3","14.6","9.8","0.6"
"7","7","2000","200007","CLE","Jamal Crawford","Michigan","17","577","105","255","33","101","40","51","7","47","76","19","16","53","19","283","0.412","0.327","0.784","33.9","16.6","2.8","4.5"
"8","8","2000","200008","HOU","Joel Przybilla","Minnesota","49","1351","201","340","0","0","85","163","54","339","91","33","165","141","150","487","0.591","","0.521","27.6","9.9","6.9","1.9"
"9","9","2000","200009","ORL","Keyon Dooling","Missouri","59","1659","223","543","67","198","203","277","24","142","198","76","29","134","103","716","0.411","0.338","0.733","28.1","12.1","2.4","3.4"
"10","10","2000","200010","BOS","Jérôme Moïso","UCLA","62","1661","301","608","5","22","135","220","84","421","66","61","81","141","176","742","0.495","0.227","0.614","26.8","12","6.8","1.1"
"11","11","2000","200011","DAL","Etan Thomas","Syracuse","122","3272","495","825","0","0","350","585","100","847","51","85","424","206","341","1340","0.6","","0.598","26.8","11","6.9","0.4"
"12","12","2000","200012","ORL","Courtney Alexander","Fresno State","112","3456","805","1767","166","458","336","438","57","441","249","127","21","220","250","2112","0.456","0.362","0.767","30.9","18.9","3.9","2.2"
"13","13","2000","200013","DET","Mateen Cleaves","Michigan State","123","3760","540","1331","143","457","318","431","5","256","816","195","16","470","274","1541","0.406","0.313","0.738","30.6","12.5","2.1","6.6"
"14","14","2000","200014","MIL","Jason Collier","Georgia Tech","97","2828","479","1045","69","187","318","447","81","693","118","60","110","275","261","1345","0.458","0.369","0.711","29.2","13.9","7.1","1.2"
"15","15","2000","200015","SEA","Desmond Mason","Oklahoma State","129","3868","616","1268","130","349","340","465","55","795","147","158","92","222","271","1702","0.486","0.372","0.731","30","13.2","6.2","1.1"
"16","16","2000","200016","LAC","Quentin Richardson","DePaul","64","2190","405","893","117","317","220","302","118","652","104","59","17","138","144","1147","0.454","0.369","0.728","34.2","17.9","10.2","1.6"
"17","17","2000","200017","CHH","Jamaal Magloire","Kentucky","145","2839","394","784","0","0","276","434","116","789","62","68","268","247","389","1064","0.503","","0.636","19.6","7.3","5.4","0.4"
"18","18","2000","200018","PHI","Speedy Claxton","Hofstra","119","4056","705","1505","65","202","540","722","89","566","660","288","33","368","243","2015","0.468","0.322","0.748","34.1","16.9","4.8","5.5"
"19","19","2000","200019","TOR","Morris Peterson","Michigan State","137","3075","562","1161","146","387","318","426","79","645","127","119","42","202","299","1588","0.484","0.377","0.746","22.4","11.6","4.7","0.9"
"20","20","2000","200020","NYK","Donnell Harvey","Florida","37","746","144","284","0","1","86","141","100","258","37","27","31","60","101","374","0.507","0","0.61","20.2","10.1","7","1"
"21","21","2000","200021","DEN","Mamadou N'Diaye","Auburn","128","2785","319","630","0","2","237","370","95","798","76","88","241","249","383","875","0.506","0","0.641","21.8","6.8","6.2","0.6"
"22","22","2000","200022","POR","Erick Barkley","St. John's","65","2261","316","797","107","326","210","289","20","202","302","167","18","145","157","949","0.396","0.328","0.727","34.8","14.6","3.1","4.6"
"23","23","2000","200023","LAL","Mark Madsen","Stanford","108","2713","428","729","0","2","320","537","176","857","69","47","64","142","274","1176","0.587","0","0.596","25.1","10.9","7.9","0.6"
"24","24","2000","200024","DAL","Dan Langhi","Vanderbilt","121","2957","485","1091","138","360","394","474","47","559","82","58","26","190","187","1502","0.445","0.383","0.831","24.4","12.4","4.6","0.7"
"25","25","2000","200025","CHI","A.J. Guyton","Indiana","128","4348","747","1642","283","684","323","409","17","429","403","129","52","297","171","2100","0.455","0.414","0.79","34","16.4","3.4","3.1"
"26","26","2000","200026","CHI","Jake Voskuhl","UConn","138","3061","323","596","0","0","217","331","288","880","124","86","193","226","437","863","0.542","","0.656","22.2","6.3","6.4","0.9"
"27","27","2000","200027","CHI","Khalid El-Amin","UConn","108","3255","580","1395","195","550","295","359","80","319","479","186","10","288","223","1650","0.416","0.355","0.822","30.1","15.3","3","4.4"
"28","28","2000","200028","WAS","Mike Smith","Louisiana-Monroe","55","1938","353","824","130","409","226","294","125","449","147","90","42","241","110","1062","0.428","0.318","0.769","35.2","19.3","8.2","2.7"
"29","29","2000","200029","MIA","Eddie House","Arizona State","124","4136","763","1794","250","683","268","336","50","502","405","258","19","238","299","2044","0.425","0.366","0.798","33.4","16.5","4","3.3"
"30","30","2000","200030","HOU","Eduardo Nájera","Oklahoma","126","3856","612","1423","85","295","337","504","98","910","215","193","89","257","364","1646","0.43","0.288","0.669","30.6","13.1","7.2","1.7"
"31","31","2000","200031","NYK","Lavor Postell","St. John's","129","3776","494","1148","92","282","347","440","93","716","205","129","58","226","299","1427","0.43","0.326","0.789","29.3","11.1","5.6","1.6"
"32","32","2000","200032","ATL","Hanno Möttölä","Utah","120","3120","538","1075","71","213","345","446","65","551","139","37","50","237","335","1492","0.5","0.333","0.774","26","12.4","4.6","1.2"
"33","33","2000","200033","MIL","Michael Redd","Ohio State","96","3324","699","1562","126","395","355","547","207","593","238","149","11","255","184","1879","0.448","0.319","0.649","34.6","19.6","6.2","2.5"
"34","34","2000","200034","DET","Brian Cardinal","Purdue","132","3693","495","1074","130","356","464","610","61","749","277","259","44","253","409","1584","0.461","0.365","0.761","28","12","5.7","2.1"
"35","35","2000","200035","SAC","Jabari Smith","LSU","61","1777","271","509","25","84","200","313","83","501","126","56","65","183","157","767","0.532","0.298","0.639","29.1","12.6","8.2","2.1"
"36","36","2000","200036","MIL","Jason Hart","Syracuse","132","4492","525","1337","139","426","314","441","16","433","709","329","14","436","361","1503","0.393","0.326","0.712","34","11.4","3.3","5.4"
"37","37","2000","200037","UTA","Kaniel Dickens","Idaho","72","1223","228","489","17","51","155","251","30","389","36","47","39","112","96","628","0.466","0.333","0.618","22.2","8.7","5.4","0.5"
"38","38","2000","200038","MIA","Ernest Brown","Indian Hills Community College","33","","168","276","0","0","59","113","","227","21","","","","","395","0.609","","0.522","","12","6.9","0.6"
"39","39","2000","200039","DEN","Dan McClintock","Northern Arizona University","115","2180","542","858","0","1","279","428","50","486","79","40","196","204","227","1363","0.632","0","0.652","19","11.9","4.2","0.7"
"40","40","2000","200040","GSW","Chris Porter","Auburn","56","1617","320","685","12","39","207","318","94","450","64","116","22","125","146","859","0.467","0.308","0.651","28.9","15.3","8","1.1"
"1","1","2001","200101","GSW","Jason Richardson","Michigan State","70","1522","261","519","57","149","96","148","120","348","96","58","34","80","130","675","0.503","0.383","0.649","21.7","9.6","5","1.4"
"2","2","2001","200102","MEM","Shane Battier","Duke","146","4336","651","1303","246","592","436","561","183","887","239","266","254","161","296","1984","0.5","0.416","0.777","29.7","13.6","6.1","1.6"
"3","3","2001","200103","NJN","Eddie Griffin","Seton Hall","30","979","206","480","41","128","80","109","94","323","49","26","133","67","71","533","0.429","0.32","0.734","32.6","17.8","10.8","1.6"
"4","4","2001","200104","DET","Rodney White","UNC Charlotte","28","865","188","386","33","95","114","160","50","182","41","34","20","82","73","523","0.487","0.347","0.713","30.9","18.7","6.5","1.5"
"5","5","2001","200105","BOS","Joe Johnson","Arkansas","53","1605","302","648","63","155","128","170","109","325","127","88","24","132","90","795","0.466","0.406","0.753","30.3","15","6.1","2.4"
"6","6","2001","200106","BOS","Kedrick Brown","Okaloosa-Walton Community College","62","","453","836","114","294","211","279","","597","208","","","","","1231","0.542","0.388","0.756","","19.9","9.6","3.4"
"7","7","2001","200107","HOU","Richard Jefferson","Arizona","84","2211","335","684","60","163","214","298","83","416","232","51","63","227","219","944","0.49","0.368","0.718","26.3","11.2","5","2.8"
"8","8","2001","200108","GSW","Troy Murphy","Notre Dame","94","3298","680","1370","64","191","587","755","180","924","158","113","126","284","274","2011","0.496","0.335","0.777","35.1","21.4","9.8","1.7"
"9","9","2001","200109","ORL","Steven Hunter","DePaul","63","1552","252","430","0","2","120","200","129","297","24","11","128","101","141","624","0.586","0","0.6","24.6","9.9","4.7","0.4"
"10","10","2001","200110","CHH","Kirk Haston","Indiana","96","2572","544","1150","26","71","292","407","137","748","111","80","104","195","255","1406","0.473","0.366","0.717","26.8","14.6","7.8","1.2"
"11","11","2001","200111","TOR","Michael Bradley","Villanova","100","2085","441","651","12","34","193","357","107","540","133","64","102","165","187","1087","0.677","0.353","0.541","20.9","10.9","5.4","1.3"
"12","12","2001","200112","HOU","Jason Collins","Stanford","73","1606","262","428","12","27","249","348","149","484","55","34","89","109","166","785","0.612","0.444","0.716","22","10.8","6.6","0.8"
"13","13","2001","200113","POR","Zach Randolph","Michigan State","33","654","138","235","0","1","80","126","101","221","34","24","22","53","60","356","0.587","0","0.635","19.8","10.8","6.7","1"
"14","14","2001","200114","CLE","Brendan Haywood","UNC","141","3315","541","849","0","0","329","557","201","839","118","47","304","223","345","1411","0.637","","0.591","23.5","10","6","0.8"
"15","15","2001","200115","BOS","Joseph Forte","UNC","69","2340","479","1055","111","302","221","273","99","399","210","121","27","169","138","1290","0.454","0.368","0.81","33.9","18.7","5.8","3"
"16","16","2001","200116","ORL","Jeryl Sasser","SMU","117","4052","674","1711","133","475","511","720","208","976","369","197","67","323","186","1992","0.394","0.28","0.71","34.6","17","8.3","3.2"
"17","17","2001","200117","HOU","Brandon Armstrong","Pepperdine","65","1974","430","980","142","363","173","210","76","209","96","110","14","126","168","1175","0.439","0.391","0.824","30.4","18.1","3.2","1.5"
"18","18","2001","200118","SAC","Gerald Wallace","Alabama","36","824","126","288","11","63","88","155","84","216","55","42","37","86","87","351","0.438","0.175","0.568","22.9","9.8","6","1.5"
"19","19","2001","200119","PHI","Samuel Dalembert","Seton Hall","59","1265","175","326","0","0","69","128","112","345","19","22","167","117","187","419","0.537","","0.539","21.4","7.1","5.8","0.3"
"20","20","2001","200120","MEM","Jamaal Tinsley","Iowa State","68","2211","284","732","52","159","230","336","48","306","431","177","56","273","198","850","0.388","0.327","0.685","32.5","12.5","4.5","6.3"
"21","21","2001","200121","CHI","Trenton Hassell","Austin Peay State University","84","3044","579","1228","122","354","346","444","161","685","375","90","55","283","154","1626","0.471","0.345","0.779","36.2","19.4","8.2","4.5"
"22","22","2001","200122","GSW","Gilbert Arenas","Arizona","70","2137","395","847","107","296","208","282","68","269","155","136","16","188","165","1105","0.466","0.361","0.738","30.5","15.8","3.8","2.2"
"23","23","2001","200123","ORL","Omar Cook","St. John's","29","1107","141","392","68","220","95","128","18","88","252","66","5","148","82","445","0.36","0.309","0.742","38.2","15.3","3","8.7"
"24","24","2001","200124","MEM","Will Solomon","Clemson","94","2739","469","1195","214","585","279","389","41","259","246","112","40","323","235","1431","0.392","0.366","0.717","29.1","15.2","2.8","2.6"
"25","25","2001","200125","ATL","Terence Morris","Maryland","136","3607","644","1300","101","299","344","441","184","925","229","162","256","274","319","1733","0.495","0.338","0.78","26.5","12.7","6.8","1.7"
"26","26","2001","200126","NJN","Brian Scalabrine","USC","92","3037","528","1030","46","134","339","440","141","560","249","89","81","312","248","1441","0.513","0.343","0.77","33","15.7","6.1","2.7"
"27","27","2001","200127","CLE","Jeff Trepagnier","USC","106","2898","431","915","61","205","205","311","112","546","152","204","105","195","275","1128","0.471","0.298","0.659","27.3","10.6","5.2","1.4"
"28","28","2001","200128","PHI","Damone Brown","Syracuse","113","2917","490","985","20","89","230","310","190","683","125","118","96","163","284","1230","0.497","0.225","0.742","25.8","10.9","6","1.1"
"29","29","2001","200129","SEA","Earl Watson","UCLA","129","4371","518","1150","133","390","280","428","87","484","607","235","49","420","372","1449","0.45","0.341","0.654","33.9","11.2","3.8","4.7"
"30","30","2001","200130","IND","Jamison Brewer","Auburn","58","1347","119","261","13","59","77","146","106","273","236","63","3","125","74","328","0.456","0.22","0.527","23.2","5.7","4.7","4.1"
"31","31","2001","200131","SEA","Bobby Simmons","DePaul","93","2939","403","941","121","366","336","429","179","700","207","124","17","236","271","1263","0.428","0.331","0.783","31.6","13.6","7.5","2.2"
"32","32","2001","200132","CHI","Sean Lampley","California","123","3750","661","1338","17","81","437","651","46","889","295","86","69","337","308","1776","0.494","0.21","0.671","30.5","14.4","7.2","2.4"
"33","33","2001","200133","MIN","Loren Woods","Arizona","107","2778","421","854","2","9","344","462","108","697","135","55","281","195","209","1188","0.493","0.222","0.745","26","11.1","6.5","1.3"
"34","34","2001","200134","MIA","Ken Johnson","Ohio State","127","3562","416","771","0","0","223","354","267","739","58","37","444","189","376","1055","0.54","","0.63","28","8.3","5.8","0.5"
"35","35","2001","200135","POR","Ruben Boumtje-Boumtje","Georgetown","101","2463","345","711","0","2","283","426","180","710","91","82","255","270","279","973","0.485","0","0.664","24.4","9.6","7","0.9"
"36","36","2001","200136","PHO","Alton Ford","Houston","26","663","95","220","9","34","81","133","42","154","17","5","19","66","97","280","0.432","0.265","0.609","25.5","10.8","5.9","0.7"
"37","37","2001","200137","UTA","Jarron Collins","Stanford","129","2789","370","711","4","16","337","504","182","706","137","73","68","149","301","1081","0.52","0.25","0.669","21.6","8.4","5.5","1.1"
"38","38","2001","200138","DAL","Kenny Satterfield","Cincinnati","68","2142","267","663","65","201","209","268","71","278","355","98","10","221","165","808","0.403","0.323","0.78","31.5","11.9","4.1","5.2"
"39","39","2001","200139","PHI","Alvin Jones","Georgia Tech","124","3880","450","921","0","4","412","718","158","1075","170","88","425","324","348","1312","0.489","0","0.574","31.3","10.6","8.7","1.4"
"1","1","2002","200201","CHI","Jay Williams","Duke","108","3572","713","1575","313","797","340","507","58","395","644","235","14","424","253","2079","0.453","0.393","0.671","33.1","19.3","3.7","6"
"2","2","2002","200202","GSW","Mike Dunleavy","Duke","104","2994","499","1050","179","483","194","278","113","601","225","166","55","202","213","1371","0.475","0.371","0.698","28.8","13.2","5.8","2.2"
"3","3","2002","200203","MEM","Drew Gooden","Kansas","98","2566","594","1205","19","62","319","457","297","905","156","104","107","251","241","1526","0.493","0.306","0.698","26.2","15.6","9.2","1.6"
"4","4","2002","200204","CLE","Dajuan Wagner","Memphis","36","1146","265","647","66","208","166","230","18","89","128","43","20","105","101","762","0.41","0.317","0.722","31.8","21.2","2.5","3.6"
"5","5","2002","200205","LAC","Chris Wilcox","Maryland","70","1160","224","431","0","2","106","180","123","330","69","34","71","72","141","554","0.52","0","0.589","16.6","7.9","4.7","1"
"6","6","2002","200206","MIA","Caron Butler","UConn","63","2173","404","868","44","121","284","370","208","477","190","134","22","168","151","1136","0.465","0.364","0.768","34.5","18","7.6","3"
"7","7","2002","200207","WAS","Jared Jeffries","Indiana","70","2283","353","785","39","120","263","409","170","507","156","85","88","202","188","1008","0.45","0.325","0.643","32.6","14.4","7.2","2.2"
"8","8","2002","200208","LAC","Melvin Ely","Fresno State","124","4031","789","1367","1","3","372","574","350","924","139","97","361","303","346","1951","0.577","0.333","0.648","32.5","15.7","7.5","1.1"
"9","9","2002","200209","MIL","Marcus Haislip","Tennessee","89","1525","276","521","38","102","155","220","110","307","41","28","116","94","216","745","0.53","0.373","0.705","17.1","8.4","3.4","0.5"
"10","10","2002","200210","IND","Fred Jones","Oregon","125","3527","554","1151","147","435","389","483","153","631","367","148","74","305","313","1644","0.481","0.338","0.805","28.2","13.2","5","2.9"
"11","11","2002","200211","WAS","Juan Dixon","Maryland","141","4002","802","1713","239","615","426","501","171","599","371","333","26","355","283","2269","0.468","0.389","0.85","28.4","16.1","4.2","2.6"
"12","12","2002","200212","ORL","Curtis Borchardt","Stanford","66","1426","233","436","15","40","190","275","156","478","82","27","144","90","151","671","0.534","0.375","0.691","21.6","10.2","7.2","1.2"
"13","13","2002","200213","UTA","Ryan Humphrey","Notre Dame","123","3543","647","1308","8","22","331","618","203","1038","158","105","285","273","354","1633","0.495","0.364","0.536","28.8","13.3","8.4","1.3"
"14","14","2002","200214","TOR","Kareem Rush","Missouri","84","2536","550","1235","226","536","258","332","132","456","174","102","47","233","194","1584","0.445","0.422","0.777","30.2","18.9","5.4","2.1"
"15","15","2002","200215","POR","Qyntel Woods","Northeast Mississippi Community College","84","2536","550","1235","226","536","258","332","132","456","174","102","47","233","194","1584","0.445","0.422","0.777","30.2","18.9","5.4","2.1"
"16","16","2002","200216","PHO","Casey Jacobsen","Stanford","95","3020","547","1163","222","520","407","528","105","364","254","50","7","193","133","1723","0.47","0.427","0.771","31.8","18.1","3.8","2.7"
"17","17","2002","200217","DET","Tayshaun Prince","Kentucky","135","4018","648","1419","204","621","275","370","188","757","254","110","142","224","195","1775","0.457","0.329","0.743","29.8","13.1","5.6","1.9"
"18","18","2002","200218","DEN","Frank Williams","Illinois","101","3202","467","1180","135","414","371","460","73","399","432","212","28","275","185","1440","0.396","0.326","0.807","31.7","14.3","4","4.3"
"19","19","2002","200219","SAS","John Salmons","Miami (FL)","124","3814","444","953","86","268","313","389","201","687","433","192","81","321","316","1287","0.466","0.321","0.805","30.8","10.4","5.5","3.5"
"20","20","2002","200220","LAL","Chris Jefferies","Fresno State","88","2460","386","886","119","352","248","395","66","425","161","98","102","208","199","1139","0.436","0.338","0.628","28","12.9","4.8","1.8"
"21","21","2002","200221","SAC","Dan Dickau","Gonzaga","97","2477","379","841","215","465","317","371","27","236","362","66","7","251","175","1290","0.451","0.462","0.854","25.5","13.3","2.4","3.7"
"22","22","2002","200222","CHI","Roger Mason","Virginia","89","2634","388","889","137","365","318","366","66","269","230","90","33","195","209","1231","0.436","0.375","0.869","29.6","13.8","3","2.6"
"23","23","2002","200223","MEM","Robert Archibald","Illinois","130","2104","258","453","0","1","286","420","176","539","107","65","81","203","390","802","0.57","0","0.681","16.2","6.2","4.1","0.8"
"24","24","2002","200224","DEN","Vincent Yarbrough","Tennessee","127","3859","613","1394","179","526","332","483","220","862","293","211","131","283","240","1737","0.44","0.34","0.687","30.4","13.7","6.8","2.3"
"25","25","2002","200225","MIL","Dan Gadzuric","UCLA","122","2946","548","1000","0","1","191","425","284","896","75","88","184","216","342","1287","0.548","0","0.449","24.1","10.5","7.3","0.6"
"26","26","2002","200226","CLE","Carlos Boozer","Duke","101","2620","554","878","0","1","398","537","179","724","115","96","72","157","288","1506","0.631","0","0.741","25.9","14.9","7.2","1.1"
"27","27","2002","200227","HOU","Tito Maddox","Fresno State","25","807","110","281","20","70","97","138","31","144","200","41","5","130","67","337","0.391","0.286","0.703","32.3","13.5","5.8","8"
"28","28","2002","200228","MIL","Ronald Murray","Shaw","90","2078","684","1414","118","345","482","654","","507","370","99","37","261","133","1968","0.484","0.342","0.737","37.1","21.9","5.6","4.1"
"29","29","2002","200229","CHI","Lonny Baxter","Maryland","138","3373","712","1287","3","5","431","718","307","998","96","120","227","225","408","1858","0.553","0.6","0.6","24.4","13.5","7.2","0.7"
"30","30","2002","200230","MEM","Matt Barnes","UCLA","121","2731","402","857","61","194","201","355","159","584","245","115","45","240","272","1066","0.469","0.314","0.566","22.6","8.8","4.8","2"
"31","31","2002","200231","UTA","Jamal Sampson","California","32","797","78","183","0","0","50","95","79","209","38","15","54","53","85","206","0.426","","0.526","24.9","6.4","6.5","1.2"
"32","32","2002","200232","MIL","Chris Owens","Texas","106","2646","408","900","15","65","315","527","210","675","90","101","189","180","290","1146","0.453","0.231","0.598","25","10.8","6.4","0.8"
"33","33","2002","200233","BOS","Darius Songaila","Wake Forest","130","3401","636","1245","12","35","575","692","198","813","229","141","96","359","431","1859","0.511","0.343","0.831","26.2","14.3","6.3","1.8"
"34","34","2002","200234","MIA","Rasual Butler","La Salle","110","4211","752","1837","282","785","339","409","167","650","177","108","120","292","172","2125","0.409","0.359","0.829","38.3","19.3","5.9","1.6"
"35","35","2002","200235","NJN","Tamar Slay","Marshall","114","3279","626","1414","251","650","289","386","123","507","249","142","53","279","239","1792","0.443","0.386","0.749","28.8","15.7","4.4","2.2"
"36","36","2002","200236","SAS","Randy Holcomb","San Diego State","93","2349","446","942","39","124","235","365","179","574","115","63","66","258","196","1166","0.473","0.315","0.644","25.3","12.5","6.2","1.2"
"37","37","2002","200237","SAC","Corsley Edwards","Central Connecticut State University","123","3398","652","1280","0","2","427","621","413","967","93","116","198","259","343","1731","0.509","0","0.688","27.6","14.1","7.9","0.8"
"1","1","2003","200301","DEN","Carmelo Anthony","Syracuse","35","1274","277","612","56","166","168","238","101","349","77","55","30","77","77","778","0.453","0.337","0.706","36.4","22.2","10","2.2"
"2","2","2003","200302","TOR","Chris Bosh","Georgia Tech","31","960","168","300","22","46","127","174","95","278","38","30","67","72","73","485","0.56","0.478","0.73","31","15.6","9","1.2"
"3","3","2003","200303","MIA","Dwyane Wade","Marquette","65","1993","474","959","32","96","301","404","141","420","255","150","79","203","156","1281","0.494","0.333","0.745","30.7","19.7","6.5","3.9"
"4","4","2003","200304","LAC","Chris Kaman","Central Michigan University","83","2179","446","733","0","0","358","502","227","707","65","42","182","257","234","1250","0.608","","0.713","26.3","15.1","8.5","0.8"
"5","5","2003","200305","CHI","Kirk Hinrich","Kansas","141","4188","615","1247","235","546","288","371","114","532","668","206","57","380","382","1753","0.493","0.43","0.776","29.7","12.4","3.8","4.7"
"6","6","2003","200306","MIL","T.J. Ford","Texas","66","2178","282","695","23","101","266","332","43","253","527","138","9","238","174","853","0.406","0.228","0.801","33","12.9","3.8","8"
"7","7","2003","200307","NYK","Mike Sweetney","Georgetown","96","2781","608","1117","0","4","534","735","349","887","174","101","180","236","224","1750","0.544","0","0.727","29","18.2","9.2","1.8"
"8","8","2003","200308","WAS","Jarvis Hayes","Georgia","84","2636","575","1258","157","426","203","263","115","422","127","111","39","146","189","1510","0.457","0.369","0.772","31.4","18","5","1.5"
"9","9","2003","200309","SEA","Nick Collison","Kansas","142","3888","858","1526","23","64","358","574","390","1143","257","155","243","346","413","2097","0.562","0.359","0.624","27.4","14.8","8","1.8"
"10","10","2003","200310","MEM","Marcus Banks","UNLV","63","2160","381","770","65","197","312","427","48","210","269","158","10","225","183","1139","0.495","0.33","0.731","34.3","18.1","3.3","4.3"
"11","11","2003","200311","SEA","Luke Ridnour","Oregon","96","3226","431","1005","203","522","334","389","42","285","500","150","10","303","198","1399","0.429","0.389","0.859","33.6","14.6","3","5.2"
"12","12","2003","200312","ORL","Reece Gaines","Louisville","125","3946","632","1398","225","588","456","608","88","424","475","192","28","332","316","1945","0.452","0.383","0.75","31.6","15.6","3.4","3.8"
"13","13","2003","200313","BOS","Troy Bell","Boston College","122","4357","761","1794","300","807","810","933","209","493","427","272","35","351","284","2632","0.424","0.372","0.868","35.7","21.6","4","3.5"
"14","14","2003","200314","NOH","David West","Xavier","126","4210","726","1366","18","55","662","874","445","1308","267","174","228","320","350","2132","0.531","0.327","0.757","33.4","16.9","10.4","2.1"
"15","15","2003","200315","BOS","Dahntay Jones","Duke","131","3907","636","1406","109","317","430","577","144","598","181","133","81","278","398","1811","0.452","0.344","0.745","29.8","13.8","4.6","1.4"
"16","16","2003","200316","LAL","Brian Cook","Illinois","132","3389","635","1246","94","277","384","484","228","815","171","92","136","266","394","1748","0.51","0.339","0.793","25.7","13.2","6.2","1.3"
"17","17","2003","200317","DAL","Josh Howard","Wake Forest","127","3536","645","1335","109","309","362","511","351","836","239","215","143","275","373","1761","0.483","0.353","0.708","27.8","13.9","6.6","1.9"
"18","18","2003","200318","CLE","Jason Kapono","UCLA","127","4313","699","1491","317","710","380","458","191","647","265","108","8","286","294","2095","0.469","0.446","0.83","34","16.5","5.1","2.1"
"19","19","2003","200319","LAL","Luke Walton","Arizona","129","3514","420","985","65","229","274","400","195","662","582","151","58","336","236","1179","0.426","0.284","0.685","27.2","9.1","5.1","4.5"
"20","20","2003","200320","MIA","Jerome Beasley","University of North Dakota","123","1785","754","1462","47","100","333","465","","793","59","44","34","103","122","1888","0.516","0.47","0.716","30.8","15.3","6.4","0.5"
"21","21","2003","200321","ATL","Travis Hansen","BYU","117","2356","483","1101","105","277","413","541","119","574","262","63","37","169","243","1484","0.439","0.379","0.763","27.4","12.7","4.9","2.2"
"22","22","2003","200322","WAS","Steve Blake","Maryland","138","4313","374","932","182","478","209","271","84","465","972","234","38","453","290","1139","0.401","0.381","0.771","31.3","8.3","3.4","7"
"23","23","2003","200323","GSW","Derrick Zimmerman","Mississippi State","127","3302","317","665","38","142","198","330","103","418","513","205","89","331","273","870","0.477","0.268","0.6","26","6.9","3.3","4"
