"Rk","Pk","Draft Year","Player ID","Team","Player Name","College","TOTG","TOTMP","TOTFG","TOTFGA","TOT3P","TOT3PA","TOTFT","TOTFTA","TOTORB","TRB","TOTAST","TOTSTL","TOTBLK","TOTTOV","TOTPF","TOTPTS","FG%","3P%","FT%","MPPG","PTSPG","TRBPG","ASTPG"
"24","24","2003","200324","SEA","Willie Green","Detroit Mercy","124","3721","649","1409","120","341","361","477","129","519","270","117","35","246","290","1779","0.461","0.352","0.757","30","14.3","4.2","2.2"
"25","25","2003","200325","MIL","Keith Bogans","Kentucky","135","3913","671","1535","254","743","327","475","201","552","314","154","15","304","264","1923","0.437","0.342","0.688","29","14.2","4.1","2.3"
"26","26","2003","200326","CHI","Matt Bonner","Florida","131","3281","580","1154","165","418","245","331","268","778","158","94","64","176","260","1570","0.503","0.395","0.74","25","12","5.9","1.2"
"27","27","2003","200327","UTA","Mo Williams","Alabama","64","2159","283","698","90","306","182","215","63","250","271","95","9","189","152","838","0.405","0.294","0.847","33.7","13.1","3.9","4.2"
"28","28","2003","200328","IND","James Jones","Miami (FL)","122","3351","464","1090","124","324","304","366","212","606","142","137","192","188","262","1356","0.426","0.383","0.831","27.5","11.1","5","1.2"
"29","29","2003","200329","NJN","Kyle Korver","Creighton","128","3540","559","1184","371","819","312","350","171","664","294","172","58","231","297","1801","0.472","0.453","0.891","27.7","14.1","5.2","2.3"
"30","30","2003","200330","BOS","Brandon Hunter","Ohio University","119","3881","706","1385","39","115","561","923","314","1103","252","95","87","402","313","2012","0.51","0.339","0.608","32.6","16.9","9.3","2.1"
"1","1","2004","200401","CHA","Emeka Okafor","UConn","103","3274","587","995","0","0","252","447","353","1091","81","91","441","206","271","1426","0.59","","0.564","31.8","13.8","10.6","0.8"
"2","2","2004","200402","CHI","Ben Gordon","UConn","106","3291","590","1342","246","581","369","464","83","415","437","125","19","302","243","1795","0.44","0.423","0.795","31","16.9","3.9","4.1"
"3","3","2004","200403","WAS","Devin Harris","Wisconsin","96","3356","438","980","187","499","362","465","63","391","295","164","40","170","199","1425","0.447","0.375","0.778","35","14.8","4.1","3.1"
"4","4","2004","200404","ATL","Josh Childress","Stanford","86","2458","386","881","104","310","185","245","161","583","155","77","95","150","182","1061","0.438","0.335","0.755","28.6","12.3","6.8","1.8"
"5","5","2004","200405","PHO","Luol Deng","Duke","37","1149","210","441","40","111","98","138","82","255","68","49","39","83","82","558","0.476","0.36","0.71","31.1","15.1","6.9","1.8"
"6","6","2004","200406","PHI","Andre Iguodala","Arizona","62","1576","205","483","32","117","152","206","134","409","213","95","29","132","136","594","0.424","0.274","0.738","25.4","9.6","6.6","3.4"
"7","7","2004","200407","CLE","Luke Jackson","Oregon","126","3665","645","1398","174","433","506","596","214","746","424","160","37","295","233","1970","0.461","0.402","0.849","29.1","15.6","5.9","3.4"
"8","8","2004","200408","UTA","Kris Humphries","Minnesota","29","990","221","498","17","50","170","229","91","294","20","27","33","82","65","629","0.444","0.34","0.742","34.1","21.7","10.1","0.7"
"9","9","2004","200409","UTA","Kirk Snyder","Nevada","84","2586","477","1120","106","342","344","508","195","537","224","76","63","263","200","1404","0.426","0.31","0.677","30.8","16.7","6.4","2.7"
"10","10","2004","200410","DEN","Jameer Nelson","Saint Joseph's","125","4311","703","1550","229","628","459","584","131","581","713","250","10","379","271","2094","0.454","0.365","0.786","34.5","16.8","4.6","5.7"
"11","11","2004","200411","BOS","Delonte West","Saint Joseph's","89","2384","450","920","113","300","222","267","93","377","270","121","15","176","167","1235","0.489","0.377","0.831","26.8","13.9","4.2","3"
"12","12","2004","200412","BOS","Tony Allen","Oklahoma State","99","3072","574","1176","64","182","337","512","115","560","301","134","54","188","197","1549","0.488","0.352","0.658","31","15.6","5.7","3"
"13","13","2004","200413","SAC","Kevin Martin","Western Carolina University","79","2515","565","1224","174","503","534","635","75","354","133","134","30","232","168","1838","0.462","0.346","0.841","31.8","23.3","4.5","1.7"
"14","14","2004","200414","IND","David Harrison","Colorado","88","2480","489","813","0","1","339","613","302","707","52","54","225","212","300","1317","0.601","0","0.553","28.2","15","8","0.6"
"15","15","2004","200415","CHI","Jackson Vroman","Iowa State","63","1930","341","611","1","13","151","295","198","598","131","77","70","179","228","834","0.558","0.077","0.512","30.6","13.2","9.5","2.1"
"16","16","2004","200416","LAC","Lionel Chalmers","Xavier","123","3897","512","1205","235","632","297","415","61","361","405","154","7","336","265","1556","0.425","0.372","0.716","31.7","12.7","2.9","3.3"
"17","17","2004","200417","SEA","Andre Emmett","Texas Tech","128","4140","882","1765","54","173","438","623","266","765","201","164","43","240","172","2256","0.5","0.312","0.703","32.3","17.6","6","1.6"
"18","18","2004","200418","ORL","Antonio Burks","Memphis","91","2786","391","834","63","157","183","272","41","233","487","177","15","205","208","1028","0.469","0.401","0.673","30.6","11.3","2.6","5.4"
"19","19","2004","200419","ATL","Royal Ivey","Texas","133","3287","367","807","53","157","249","351","151","406","300","124","25","195","353","1036","0.455","0.338","0.709","24.7","7.8","3.1","2.3"
"20","20","2004","200420","CHI","Chris Duhon","Duke","144","4813","432","1033","162","505","242","349","109","489","819","300","16","355","268","1268","0.418","0.321","0.693","33.4","8.8","3.4","5.7"
"21","21","2004","200421","BOS","Justin Reed","Ole Miss","122","3496","679","1425","45","158","382","540","290","766","132","123","89","290","388","1785","0.476","0.285","0.707","28.7","14.6","6.3","1.1"
"22","22","2004","200422","NYK","Trevor Ariza","UCLA","25","789","107","251","18","76","57","113","61","162","52","42","11","81","69","289","0.426","0.237","0.504","31.6","11.6","6.5","2.1"
"23","23","2004","200423","CHA","Bernard Robinson","Michigan","120","3666","550","1251","69","232","336","413","159","640","364","169","47","352","305","1505","0.44","0.297","0.814","30.6","12.5","5.3","3"
"24","24","2004","200424","MIA","Pape Sow","Cal State Fullerton","72","2334","381","814","20","68","353","529","205","654","56","104","61","187","258","1135","0.468","0.294","0.667","32.4","15.8","9.1","0.8"
"25","25","2004","200425","MIA","Matt Freije","Vanderbilt","121","3472","632","1412","183","515","444","565","192","591","114","79","71","172","262","1891","0.448","0.355","0.786","28.7","15.6","4.9","0.9"
"26","26","2004","200426","HOU","Luis Flores","Manhattan College","119","3654","683","1514","166","438","628","722","146","446","229","175","21","303","251","2160","0.451","0.379","0.87","30.7","18.2","3.7","1.9"
"1","1","2005","200501","MIL","Andrew Bogut","Utah","68","2226","449","744","13","36","215","319","236","753","155","48","109","183","158","1126","0.603","0.361","0.674","32.7","16.6","11.1","2.3"
"2","2","2005","200502","ATL","Marvin Williams","UNC","36","800","125","247","19","44","138","163","65","236","26","39","17","56","92","407","0.506","0.432","0.847","22.2","11.3","6.6","0.7"
"3","3","2005","200503","UTA","Deron Williams","Illinois","101","3200","400","947","163","436","148","216","43","334","594","115","22","243","224","1111","0.422","0.374","0.685","31.7","11","3.3","5.9"
"4","4","2005","200504","NOH","Chris Paul","Wake Forest","63","2110","278","589","86","183","306","365","43","245","395","160","13","171","163","948","0.472","0.47","0.838","33.5","15","3.9","6.3"
"5","5","2005","200505","CHA","Raymond Felton","UNC","101","3421","414","978","174","464","258","353","69","417","698","192","27","361","233","1260","0.423","0.375","0.731","33.9","12.5","4.1","6.9"
"6","6","2005","200506","TOR","Charlie Villanueva","UConn","63","1405","272","525","24","61","139","204","138","425","63","26","105","109","140","707","0.518","0.393","0.681","22.3","11.2","6.7","1"
"7","7","2005","200507","NYK","Channing Frye","Arizona","133","3686","707","1257","6","23","369","486","369","975","176","86","258","191","370","1789","0.562","0.261","0.759","27.7","13.5","7.3","1.3"
"8","8","2005","200508","GSW","Ike Diogu","Arizona State","91","3190","617","1080","41","106","671","854","306","802","113","39","153","305","258","1946","0.571","0.387","0.786","35.1","21.4","8.8","1.2"
"9","9","2005","200509","CHA","Sean May","UNC","77","2139","442","862","0","11","329","459","267","771","113","100","94","184","188","1213","0.513","0","0.717","27.8","15.8","10","1.5"
"10","10","2005","200510","MIN","Rashad McCants","UNC","98","2863","614","1263","221","533","272","377","147","398","204","145","61","220","237","1721","0.486","0.415","0.721","29.2","17.6","4.1","2.1"
"11","11","2005","200511","NJN","Antoine Wright","Texas A&M","87","2793","467","1134","181","482","223","344","122","487","184","95","50","198","222","1338","0.412","0.376","0.648","32.1","15.4","5.6","2.1"
"12","12","2005","200512","TOR","Joey Graham","Oklahoma State","128","3337","597","1132","71","188","402","497","211","667","210","100","33","279","371","1667","0.527","0.378","0.809","26.1","13","5.2","1.6"
"13","13","2005","200513","IND","Danny Granger","New Mexico","95","2695","529","1066","78","213","450","598","238","781","154","148","180","217","302","1586","0.496","0.366","0.753","28.4","16.7","8.2","1.6"
"14","14","2005","200514","MEM","Hakim Warrick","Syracuse","135","4186","767","1432","10","40","529","803","386","1025","207","131","128","313","328","2073","0.536","0.25","0.659","31","15.4","7.6","1.5"
"15","15","2005","200515","DEN","Julius Hodge","NC State","129","4258","665","1407","114","347","596","784","255","773","454","161","82","332","324","2040","0.473","0.329","0.76","33","15.8","6","3.5"
"16","16","2005","200516","PHO","Nate Robinson","Washington","89","2510","446","975","127","365","264","333","138","345","285","140","9","174","235","1283","0.457","0.348","0.793","28.2","14.4","3.9","3.2"
"17","17","2005","200517","DEN","Jarrett Jack","Georgia Tech","101","3260","406","850","93","259","360","452","44","450","543","183","11","332","202","1265","0.478","0.359","0.796","32.3","12.5","4.5","5.4"
"18","18","2005","200518","SAC","Francisco García","Louisville","98","2757","462","1031","180","488","309","364","113","379","346","145","134","233","261","1413","0.448","0.369","0.849","28.1","14.4","3.9","3.5"
"19","19","2005","200519","HOU","Luther Head","Illinois","128","3250","452","956","209","547","182","242","89","403","326","158","23","197","198","1295","0.473","0.382","0.752","25.4","10.1","3.1","2.5"
"20","20","2005","200520","DET","Jason Maxiell","Cincinnati","129","3563","562","1108","2","7","440","674","355","908","87","91","251","189","331","1566","0.507","0.286","0.653","27.6","12.1","7","0.7"
"21","21","2005","200521","POR","Linas Kleiza","Missouri","49","1408","229","555","39","136","210","297","122","385","66","27","14","116","143","707","0.413","0.287","0.707","28.7","14.4","7.9","1.3"
"22","22","2005","200522","MIA","Wayne Simien","Kansas","106","2817","585","1048","6","25","417","532","297","884","93","78","78","185","247","1593","0.558","0.24","0.784","26.6","15","8.3","0.9"
"23","23","2005","200523","NYK","David Lee","Florida","127","3171","543","935","0","6","350","514","285","869","251","113","109","263","281","1436","0.581","0","0.681","25","11.3","6.8","2"
"24","24","2005","200524","ATL","Salim Stoudamire","Arizona","129","3848","615","1306","342","747","388","446","47","283","256","99","8","262","281","1960","0.471","0.458","0.87","29.8","15.2","2.2","2"
"25","25","2005","200525","LAC","Daniel Ewing","Duke","138","3827","538","1246","217","554","302","405","117","382","293","191","24","258","365","1595","0.432","0.392","0.746","27.7","11.6","2.8","2.1"
"26","26","2005","200526","NOH","Brandon Bass","LSU","59","2020","302","559","17","45","269","345","153","486","42","45","104","109","132","890","0.54","0.378","0.78","34.2","15.1","8.2","0.7"
"27","27","2005","200527","LAL","Ronny Turiaf","Gonzaga","127","3239","538","1038","4","18","643","899","264","859","130","61","179","261","362","1723","0.518","0.222","0.715","25.5","13.6","6.8","1"
"28","28","2005","200528","ORL","Travis Diener","Marquette","120","3770","511","1228","284","687","385","460","64","373","617","158","8","230","251","1691","0.416","0.413","0.837","31.4","14.1","3.1","5.1"
"29","29","2005","200529","LAL","Von Wafer","Florida State","61","1318","214","528","108","296","79","118","22","133","84","54","13","85","83","615","0.405","0.365","0.669","21.6","10.1","2.2","1.4"
"30","30","2005","200530","GSW","Chris Taft","Pitt","65","1692","321","564","0","0","136","241","200","488","69","23","110","92","100","778","0.569","","0.564","26","12","7.5","1.1"
"31","31","2005","200531","MIN","Bracey Wright","Indiana","85","3035","469","1159","186","532","374","482","113","433","204","79","47","198","156","1498","0.405","0.35","0.776","35.7","17.6","5.1","2.4"
"32","32","2005","200532","BOS","Ryan Gomes","Providence","116","4077","784","1510","81","230","489","620","387","1028","270","181","50","267","244","2138","0.519","0.352","0.789","35.1","18.4","8.9","2.3"
"33","33","2005","200533","UTA","Robert Whaley","Walsh University","118","2920","774","1525","5","21","299","514","23","757","126","6","8","24","47","1852","0.508","0.238","0.582","24.7","15.7","6.4","1.1"
"34","34","2005","200534","BOS","Orien Greene","Louisiana","104","2567","258","631","97","307","119","164","98","355","326","207","33","223","286","732","0.409","0.316","0.726","24.7","7","3.4","3.1"
"35","35","2005","200535","NYK","Dijon Thompson","UCLA","117","3252","541","1167","133","367","243","311","159","546","239","133","37","285","213","1458","0.464","0.362","0.781","27.8","12.5","4.7","2"
"36","36","2005","200536","SEA","Lawrence Roberts","Mississippi State","118","3701","653","1426","61","202","575","872","408","1172","177","189","112","279","284","1942","0.458","0.302","0.659","31.4","16.5","9.9","1.5"
"37","37","2005","200537","DET","Alex Acker","Pepperdine","88","3023","449","983","120","292","255","310","136","495","249","133","38","230","167","1273","0.457","0.411","0.823","34.4","14.5","5.6","2.8"
"1","1","2006","200601","CHI","LaMarcus Aldridge","Texas","53","1602","276","471","0","0","161","248","178","434","34","67","97","87","141","713","0.586","","0.649","30.2","13.5","8.2","0.6"
"2","2","2006","200602","CHA","Adam Morrison","Gonzaga","95","2908","669","1329","128","348","401","527","124","485","188","66","35","164","164","1867","0.503","0.368","0.761","30.6","19.7","5.1","2"
"3","3","2006","200603","POR","Tyrus Thomas","LSU","32","829","152","250","1","1","90","137","90","295","42","33","99","59","82","395","0.608","1","0.657","25.9","12.3","9.2","1.3"
"4","4","2006","200604","ATL","Shelden Williams","Duke","139","3903","687","1202","4","12","550","792","447","1262","119","161","422","321","432","1928","0.572","0.333","0.694","28.1","13.9","9.1","0.9"
"5","5","2006","200605","MIN","Brandon Roy","Washington","103","2837","533","1041","53","154","358","468","185","517","308","103","49","217","221","1477","0.512","0.344","0.765","27.5","14.3","5","3"
"6","6","2006","200606","BOS","Randy Foye","Villanova","131","4096","682","1711","213","647","389","498","181","625","416","198","52","378","359","1966","0.399","0.329","0.781","31.3","15","4.8","3.2"
"7","7","2006","200607","HOU","Rudy Gay","UConn","64","1908","319","692","56","148","176","244","121","378","116","83","111","143","146","870","0.461","0.378","0.721","29.8","13.6","5.9","1.8"
"8","8","2006","200608","GSW","Patrick O'Bryant","Bradley","52","1265","241","435","0","0","123","179","135","408","38","46","147","100","163","605","0.554","","0.687","24.3","11.6","7.8","0.7"
"9","9","2006","200609","ORL","JJ Redick","Duke","139","4732","825","1906","457","1126","662","726","66","375","306","152","9","296","226","2769","0.433","0.406","0.912","34","19.9","2.7","2.2"
"10","10","2006","200610","NOK","Hilton Armstrong","UConn","131","1980","227","403","1","3","159","275","172","517","73","43","191","159","271","614","0.563","0.333","0.578","15.1","4.7","3.9","0.6"
"11","11","2006","200611","UTA","Ronnie Brewer","Arkansas","90","2974","493","1067","104","306","326","486","150","452","299","216","49","203","153","1416","0.462","0.34","0.671","33","15.7","5","3.3"
"12","12","2006","200612","NOK","Cedric Simmons","NC State","63","1189","170","301","2","4","144","221","79","260","68","26","115","82","157","486","0.565","0.5","0.652","18.9","7.7","4.1","1.1"
"13","13","2006","200613","CHI","Rodney Carney","Memphis","133","3670","659","1587","287","792","296","413","203","651","155","134","131","191","280","1901","0.415","0.362","0.717","27.6","14.3","4.9","1.2"
"14","14","2006","200614","IND","Shawne Williams","Memphis","36","1002","156","375","48","154","114","145","62","222","67","50","49","81","105","474","0.416","0.312","0.786","27.8","13.2","6.2","1.9"
"15","15","2006","200615","SAC","Quincy Douby","Rutgers University","95","3045","581","1344","251","646","277","338","68","274","257","121","62","205","172","1690","0.432","0.389","0.82","32.1","17.8","2.9","2.7"
"16","16","2006","200616","NYK","Renaldo Balkman","South Carolina","104","2193","317","573","16","55","121","227","222","550","176","123","112","172","219","771","0.553","0.291","0.533","21.1","7.4","5.3","1.7"
"17","17","2006","200617","PHO","Rajon Rondo","Kentucky","68","1908","249","505","28","99","128","222","57","306","285","156","13","148","133","654","0.493","0.283","0.577","28.1","9.6","4.5","4.2"
"18","18","2006","200618","NJN","Marcus Williams","UConn","70","1954","203","505","54","144","167","211","48","227","510","72","14","224","119","627","0.402","0.375","0.791","27.9","9","3.2","7.3"
"19","19","2006","200619","NJN","Josh Boone","UConn","103","2672","382","661","0","0","195","349","322","718","84","53","222","137","199","959","0.578","","0.559","25.9","9.3","7","0.8"
"20","20","2006","200620","MEM","Kyle Lowry","Villanova","57","1524","181","403","13","40","168","228","82","219","171","108","13","110","148","543","0.449","0.325","0.737","26.7","9.5","3.8","3"
"21","21","2006","200621","CLE","Shannon Brown","Michigan State","97","2712","416","910","110","302","241","290","99","329","188","124","11","197","184","1183","0.457","0.364","0.831","28","12.2","3.4","1.9"
"22","22","2006","200622","LAL","Jordan Farmar","UCLA","66","2122","292","712","97","291","200","263","39","196","342","82","12","248","140","881","0.41","0.333","0.76","32.2","13.3","3","5.2"
"23","23","2006","200623","DAL","Maurice Ager","Michigan State","124","3176","523","1185","202","532","306","395","99","424","181","62","39","210","240","1554","0.441","0.38","0.775","25.6","12.5","3.4","1.5"
"24","24","2006","200624","NYK","Mardy Collins","Temple","125","4683","718","1798","182","624","301","482","155","569","398","290","29","255","285","1919","0.399","0.292","0.624","37.5","15.4","4.6","3.2"
"25","25","2006","200625","POR","James White","Cincinnati","123","3336","428","963","120","357","294","375","129","520","316","117","75","248","276","1270","0.444","0.336","0.784","27.1","10.3","4.2","2.6"
"26","26","2006","200626","HOU","Steve Novak","Marquette","126","3401","485","1064","354","768","243","261","121","524","123","64","9","135","253","1567","0.456","0.461","0.931","27","12.4","4.2","1"
"27","27","2006","200627","ATL","Solomon Jones","South Florida","59","1838","216","428","0","2","149","215","154","470","61","38","153","161","200","581","0.505","0","0.693","31.2","9.8","8","1"
"28","28","2006","200628","LAC","Paul Davis","Michigan State","130","3349","614","1142","13","48","477","625","277","910","178","146","87","270","344","1718","0.538","0.271","0.763","25.8","13.2","7","1.4"
"29","29","2006","200629","TOR","P.J. Tucker","Texas","87","2518","438","832","2","4","291","409","267","714","170","116","23","191","218","1169","0.526","0.5","0.711","28.9","13.4","8.2","2"
"30","30","2006","200630","MIN","Craig Smith","Boston College","130","4415","921","1650","16","67","491","764","389","1114","245","167","100","293","374","2349","0.558","0.239","0.643","34","18.1","8.6","1.9"
"31","31","2006","200631","MIN","Bobby Jones","Washington","125","3013","424","847","65","177","313","443","256","617","153","134","59","168","439","1226","0.501","0.367","0.707","24.1","9.8","4.9","1.2"
"32","32","2006","200632","MIL","David Noel","UNC","127","2948","349","656","64","181","118","201","209","549","247","137","60","219","254","880","0.532","0.354","0.587","23.2","6.9","4.3","1.9"
"33","33","2006","200633","ORL","James Augustine","Illinois","137","3717","534","865","6","18","309","450","357","1023","148","141","139","199","356","1383","0.617","0.333","0.687","27.1","10.1","7.5","1.1"
"34","34","2006","200634","CLE","Daniel Gibson","Texas","68","2246","294","716","175","452","172","232","56","245","237","104","20","165","167","935","0.411","0.387","0.741","33","13.8","3.6","3.5"
"35","35","2006","200635","IND","Alexander Johnson","Florida State","92","1935","306","589","12","39","276","414","159","482","64","81","66","238","268","900","0.52","0.308","0.667","21","9.8","5.2","0.7"
"36","36","2006","200636","UTA","Dee Brown","Illinois","137","4698","638","1512","299","831","237","327","105","448","674","231","7","294","255","1812","0.422","0.36","0.725","34.3","13.2","3.3","4.9"
"37","37","2006","200637","UTA","Paul Millsap","Louisiana Tech","92","3240","658","1141","6","16","386","623","504","1172","87","121","183","224","289","1708","0.577","0.375","0.62","35.2","18.6","12.7","0.9"
"38","38","2006","200638","DEN","Leon Powe","California","54","1757","320","650","3","10","319","475","181","529","57","43","32","119","129","962","0.492","0.3","0.672","32.5","17.8","9.8","1.1"
"39","39","2006","200639","CHA","Ryan Hollins","UCLA","113","2282","225","391","1","1","191","323","178","455","40","25","101","156","274","642","0.575","1","0.591","20.2","5.7","4","0.4"
"40","40","2006","200640","LAC","Guillermo Díaz","Miami (FL)","93","3032","516","1152","174","458","271","366","83","313","238","123","25","193","165","1477","0.448","0.38","0.74","32.6","15.9","3.4","2.6"
"41","41","2006","200641","NJN","Hassan Adams","Arizona","130","3609","750","1503","75","241","243","345","319","706","259","238","85","255","263","1818","0.499","0.311","0.704","27.8","14","5.4","2"
"42","42","2006","200642","DET","Will Blalock","Iowa State","93","3193","393","933","100","274","192","267","54","287","464","177","10","236","151","1078","0.421","0.365","0.719","34.3","11.6","3.1","5"
"1","1","2007","200701","POR","Greg Oden","Ohio State","32","925","189","307","0","0","123","196","113","306","21","18","105","64","87","501","0.616","","0.628","28.9","15.7","9.6","0.7"
"2","2","2007","200702","SEA","Kevin Durant","Texas","35","1255","306","647","82","203","209","256","106","390","46","66","67","99","71","903","0.473","0.404","0.816","35.9","25.8","11.1","1.3"
"3","3","2007","200703","ATL","Al Horford","Florida","109","2798","424","724","0","4","275","444","254","864","187","94","189","173","270","1123","0.586","0","0.619","25.7","10.3","7.9","1.7"
"4","4","2007","200704","MEM","Mike Conley","Ohio State","39","1231","160","309","21","69","100","144","27","134","238","87","10","86","60","441","0.518","0.304","0.694","31.6","11.3","3.4","6.1"
"5","5","2007","200705","BOS","Jeff Green","Georgetown","102","3388","485","994","89","248","280","400","217","664","318","92","127","257","254","1339","0.488","0.359","0.7","33.2","13.1","6.5","3.1"
"6","6","2007","200706","MIN","Corey Brewer","Florida","108","2939","427","890","99","278","272","384","140","469","300","176","44","253","242","1225","0.48","0.356","0.708","27.2","11.3","4.3","2.8"
"7","7","2007","200707","CHA","Brandan Wright","UNC","37","1013","228","353","0","0","89","157","77","229","37","36","65","59","55","545","0.646","","0.567","27.4","14.7","6.2","1"
"8","8","2007","200708","CHI","Joakim Noah","Florida","108","2279","411","667","1","2","310","453","211","687","185","95","186","193","220","1133","0.616","0.5","0.684","21.1","10.5","6.4","1.7"
"9","9","2007","200709","SAC","Spencer Hawes","Washington","31","896","193","363","1","3","74","98","61","197","60","16","54","78","70","461","0.532","0.333","0.755","28.9","14.9","6.4","1.9"
"10","10","2007","200710","ATL","Acie Law","Texas A&M","122","3760","605","1298","114","319","345","454","56","379","545","156","2","299","323","1669","0.466","0.357","0.76","30.8","13.7","3.1","4.5"
"11","11","2007","200711","PHI","Thaddeus Young","Georgia Tech","31","917","177","370","39","93","52","70","72","151","63","39","12","67","61","445","0.478","0.419","0.743","29.6","14.4","4.9","2"
"12","12","2007","200712","NOK","Julian Wright","Kansas","71","1711","314","566","3","16","107","181","149","450","142","86","91","155","148","738","0.555","0.188","0.591","24.1","10.4","6.3","2"
"13","13","2007","200713","LAC","Al Thornton","Florida State","124","2723","546","1034","63","144","366","522","258","641","87","103","74","215","280","1521","0.528","0.438","0.701","22","12.3","5.2","0.7"
"14","14","2007","200714","DET","Rodney Stuckey","Eastern Washington","59","1955","477","1011","98","309","386","479","67","279","283","137","17","205","143","1438","0.472","0.317","0.806","33.1","24.4","4.7","4.8"
"15","15","2007","200715","WAS","Nick Young","USC","96","2990","553","1143","95","258","285","373","167","487","137","80","26","205","243","1486","0.484","0.368","0.764","31.1","15.5","5.1","1.4"
"16","16","2007","200716","NJN","Sean Williams","Boston College","69","1414","138","239","0","0","101","167","109","290","44","42","193","82","183","377","0.577","","0.605","20.5","5.5","4.2","0.6"
"17","17","2007","200717","LAL","Javaris Crittenton","Georgia Tech","32","1003","158","351","36","101","108","138","28","119","184","65","2","124","67","460","0.45","0.356","0.783","31.3","14.4","3.7","5.8"
"18","18","2007","200718","MIA","Jason Smith","Colorado State","87","2429","456","832","8","26","361","481","223","683","173","47","149","266","283","1281","0.548","0.308","0.751","27.9","14.7","7.9","2"
"19","19","2007","200719","PHI","Daequan Cook","Ohio State","39","770","141","317","54","130","46","66","28","167","40","28","10","56","66","382","0.445","0.415","0.697","19.7","9.8","4.3","1"
"20","20","2007","200720","CHA","Jared Dudley","Boston College","130","4727","689","1368","120","329","573","784","371","936","395","176","37","268","248","2071","0.504","0.365","0.731","36.4","15.9","7.2","3"
"21","21","2007","200721","NYK","Wilson Chandler","DePaul","59","1834","299","672","47","155","116","176","111","416","72","41","86","106","173","761","0.445","0.303","0.659","31.1","12.9","7.1","1.2"
"22","22","2007","200722","UTA","Morris Almond","Rice University","121","3279","627","1275","153","352","418","507","121","419","119","89","65","262","207","1825","0.492","0.435","0.824","27.1","15.1","3.5","1"
"23","23","2007","200723","HOU","Aaron Brooks","Oregon","115","3759","500","1164","205","548","306","367","86","397","470","127","16","303","265","1511","0.43","0.374","0.834","32.7","13.1","3.5","4.1"
"24","24","2007","200724","DET","Arron Afflalo","UCLA","104","3396","519","1135","209","560","293","375","64","360","202","64","20","205","216","1540","0.457","0.373","0.781","32.7","14.8","3.5","1.9"
"25","25","2007","200725","PHO","Alando Tucker","Wisconsin","134","4297","798","1663","101","329","520","817","314","769","213","104","29","229","210","2217","0.48","0.307","0.636","32.1","16.5","5.7","1.6"
"26","26","2007","200726","SEA","Carl Landry","Purdue","64","1915","403","669","10","43","359","503","194","453","78","65","52","184","192","1175","0.602","0.233","0.714","29.9","18.4","7.1","1.2"
"27","27","2007","200727","BOS","Gabe Pruitt","USC","80","2590","358","817","179","456","207","266","48","247","283","158","16","189","180","1102","0.438","0.393","0.778","32.4","13.8","3.1","3.5"
"28","28","2007","200728","SAS","Marcus Williams","Arizona","63","1939","355","748","53","149","164","231","124","354","128","65","41","139","126","927","0.475","0.356","0.71","30.8","14.7","5.6","2"
"29","29","2007","200729","DAL","Nick Fazekas","Nevada","131","3944","901","1695","116","340","546","670","330","1254","170","98","192","225","259","2464","0.532","0.341","0.815","30.1","18.8","9.6","1.3"
